Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,175.470001,175.470001,175.470001,175.470001,175.470001,0
2014-01-03,175.470001,175.470001,175.470001,175.470001,175.470001,0
2014-01-06,175.470001,175.470001,175.470001,175.470001,175.470001,0
2014-01-07,180.100006,180.100006,180.100006,182.070007,182.070007,200
2014-01-08,180.410004,180.410004,180.410004,179.710007,179.710007,6400
2014-01-09,182.649994,182.649994,181.130005,179.710007,179.710007,20500
2014-01-10,181.130005,181.130005,181.130005,181.130005,181.130005,0
2014-01-13,175.070007,175.070007,175.070007,174.589996,174.589996,400
2014-01-14,181.130005,181.130005,181.130005,181.130005,181.130005,0
2014-01-15,178.789993,178.789993,176.000000,175.289993,175.289993,600
2014-01-16,177.729996,178.449997,176.699997,178.449997,178.449997,1200
2014-01-17,175.500000,177.139999,174.500000,173.479996,173.479996,2100
2014-01-20,177.139999,177.139999,177.139999,177.139999,177.139999,0
2014-01-21,177.139999,177.139999,177.139999,177.139999,177.139999,0
2014-01-22,177.289993,180.169998,177.289993,180.169998,180.169998,1600
2014-01-23,174.479996,176.000000,174.479996,178.470001,178.470001,400
2014-01-24,177.470001,177.470001,177.470001,176.130005,176.130005,1300
2014-01-27,177.470001,177.470001,177.470001,177.470001,177.470001,0
2014-01-28,177.470001,177.470001,177.470001,177.470001,177.470001,0
2014-01-29,175.490005,175.490005,175.490005,174.139999,174.139999,300
2014-01-30,175.490005,175.490005,175.490005,175.490005,175.490005,0
2014-01-31,175.619995,175.619995,175.619995,176.470001,176.470001,1500
2014-02-03,173.089996,173.089996,173.089996,172.279999,172.279999,1400
2014-02-04,172.279999,172.279999,172.279999,172.279999,172.279999,0
2014-02-05,172.279999,172.279999,172.279999,172.279999,172.279999,0
2014-02-06,181.000000,181.000000,181.000000,178.770004,178.770004,200
2014-02-07,178.770004,178.770004,178.770004,178.770004,178.770004,0
2014-02-10,178.770004,178.770004,178.770004,178.770004,178.770004,0
2014-02-11,186.990005,186.990005,186.990005,186.839996,186.839996,300
2014-02-12,186.990005,186.990005,186.990005,186.990005,186.990005,0
2014-02-13,186.990005,186.990005,186.990005,186.990005,186.990005,0
2014-02-14,186.990005,186.990005,186.990005,186.990005,186.990005,0
2014-02-17,186.990005,186.990005,186.990005,186.990005,186.990005,0
2014-02-18,191.839996,192.039993,191.839996,190.220001,190.220001,2700
2014-02-19,189.899994,189.899994,189.899994,189.149994,189.149994,7500
2014-02-20,188.029999,188.029999,188.029999,187.470001,187.470001,400
