Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,68227.000000,68593.000000,68081.000000,68474.000000,68474.000000,3290300
2017-05-16,68473.000000,68792.000000,68124.000000,68684.000000,68684.000000,3672400
2017-05-17,68674.000000,68674.000000,67163.000000,67540.000000,67540.000000,3317200
2017-05-18,67536.000000,67536.000000,60315.000000,61597.000000,61597.000000,11046700
2017-05-19,61597.000000,63488.000000,61597.000000,62639.000000,62639.000000,6120800
2017-05-22,62638.000000,62638.000000,60925.000000,61673.000000,61673.000000,5815800
2017-05-23,61670.000000,62775.000000,61670.000000,62662.000000,62662.000000,4753500
2017-05-24,62673.000000,64016.000000,62673.000000,63257.000000,63257.000000,4181200
2017-05-25,63256.000000,63991.000000,62762.000000,63227.000000,63227.000000,4001000
2017-05-26,63228.000000,64170.000000,63228.000000,64085.000000,64085.000000,3849400
2017-05-29,64055.000000,64055.000000,63531.000000,63761.000000,63761.000000,1646300
2017-05-30,63765.000000,64107.000000,63720.000000,63962.000000,63962.000000,2235300
2017-05-31,63961.000000,63984.000000,62673.000000,62711.000000,62711.000000,4535100
2017-06-01,62711.000000,63293.000000,62165.000000,62289.000000,62289.000000,3370200
2017-06-02,62289.000000,62773.000000,62161.000000,62511.000000,62511.000000,2874500
2017-06-05,62503.000000,62800.000000,62010.000000,62450.000000,62450.000000,2421700
2017-06-06,62450.000000,63302.000000,62426.000000,62955.000000,62955.000000,2993300
2017-06-07,62955.000000,63637.000000,62912.000000,63171.000000,63171.000000,2892300
2017-06-08,63171.000000,63171.000000,62376.000000,62756.000000,62756.000000,2702400
2017-06-09,62755.000000,63066.000000,62095.000000,62211.000000,62211.000000,3099900
2017-06-12,62219.000000,62286.000000,61279.000000,61700.000000,61700.000000,3026600
2017-06-13,61708.000000,62012.000000,61510.000000,61829.000000,61829.000000,2469100
2017-06-14,61831.000000,62475.000000,61508.000000,61923.000000,61923.000000,4328500
2017-06-15,null,null,null,null,null,null
2017-06-16,61911.000000,61921.000000,61269.000000,61626.000000,61626.000000,5088000
2017-06-19,61620.000000,62272.000000,61620.000000,62014.000000,62014.000000,2752600
2017-06-20,62011.000000,62011.000000,60766.000000,60766.000000,60766.000000,3956200
2017-06-21,60783.000000,61188.000000,60544.000000,60762.000000,60762.000000,3274700
2017-06-22,60762.000000,61354.000000,60758.000000,61272.000000,61272.000000,3066900
2017-06-23,61272.000000,61400.000000,60992.000000,61087.000000,61087.000000,2836700
2017-06-26,61088.000000,62251.000000,61088.000000,62188.000000,62188.000000,2599200
2017-06-27,62188.000000,62424.000000,61580.000000,61675.000000,61675.000000,3275700
2017-06-28,61684.000000,62057.000000,61433.000000,62018.000000,62018.000000,2719100
2017-06-29,62010.000000,62499.000000,61689.000000,62239.000000,62239.000000,2915500
2017-06-30,62238.000000,63038.000000,62238.000000,62900.000000,62900.000000,2688200
2017-07-03,62901.000000,63338.000000,62901.000000,63280.000000,63280.000000,2086300
2017-07-04,63268.000000,63346.000000,63076.000000,63232.000000,63232.000000,950700
2017-07-05,63215.000000,63485.000000,62708.000000,63154.000000,63154.000000,3169900
2017-07-06,63156.000000,63188.000000,62354.000000,62470.000000,62470.000000,3038700
2017-07-07,62474.000000,62926.000000,62035.000000,62322.000000,62322.000000,2894200
2017-07-10,62322.000000,63135.000000,62322.000000,63025.000000,63025.000000,2224000
2017-07-11,63027.000000,63891.000000,62908.000000,63832.000000,63832.000000,2566700
2017-07-12,63840.000000,64938.000000,63827.000000,64836.000000,64836.000000,4116300
2017-07-13,64854.000000,65302.000000,64854.000000,65178.000000,65178.000000,3121700
2017-07-14,65178.000000,65624.000000,65178.000000,65436.000000,65436.000000,2711600
2017-07-17,65431.000000,65478.000000,65119.000000,65212.000000,65212.000000,2255300
2017-07-18,65208.000000,65338.000000,64943.000000,65338.000000,65338.000000,2213500
2017-07-19,65337.000000,65604.000000,64874.000000,65180.000000,65180.000000,2622700
2017-07-20,65178.000000,65505.000000,64898.000000,64938.000000,64938.000000,2252900
2017-07-21,64936.000000,65150.000000,64599.000000,64684.000000,64684.000000,2125500
2017-07-24,64695.000000,65104.000000,64678.000000,65100.000000,65100.000000,0
2017-07-25,65101.000000,65749.000000,65101.000000,65668.000000,65668.000000,2737400
2017-07-26,65668.000000,65873.000000,64992.000000,65011.000000,65011.000000,2942300
2017-07-27,65013.000000,65678.000000,65013.000000,65277.000000,65277.000000,2483900
2017-07-28,65253.000000,65497.000000,64953.000000,65497.000000,65497.000000,2760700
2017-07-31,65503.000000,66048.000000,65503.000000,65920.000000,65920.000000,2572700
2017-08-01,65925.000000,66606.000000,65925.000000,66516.000000,66516.000000,2762600
2017-08-02,66504.000000,67277.000000,66305.000000,67136.000000,67136.000000,3713700
2017-08-03,67136.000000,67256.000000,66705.000000,66777.000000,66777.000000,2722400
2017-08-04,66783.000000,67104.000000,66525.000000,66898.000000,66898.000000,2370900
2017-08-07,66898.000000,68043.000000,66887.000000,67940.000000,67940.000000,2996800
2017-08-08,67936.000000,68500.000000,67671.000000,67899.000000,67899.000000,3134300
2017-08-09,67894.000000,67894.000000,67290.000000,67671.000000,67671.000000,2488000
2017-08-10,67671.000000,67671.000000,66650.000000,66992.000000,66992.000000,2820800
2017-08-11,66992.000000,67623.000000,66678.000000,67359.000000,67359.000000,2890000
2017-08-14,67364.000000,68642.000000,67226.000000,68285.000000,68285.000000,2827300
2017-08-15,68296.000000,68846.000000,68293.000000,68355.000000,68355.000000,2753200
2017-08-16,68356.000000,68950.000000,68304.000000,68594.000000,68594.000000,3753400
2017-08-17,68596.000000,68596.000000,67866.000000,67977.000000,67977.000000,2661800
2017-08-18,67990.000000,68808.000000,67979.000000,68715.000000,68715.000000,3464800
2017-08-21,68713.000000,69068.000000,68514.000000,68635.000000,68635.000000,2643300
2017-08-22,68645.000000,70278.000000,68645.000000,70011.000000,70011.000000,3907500
2017-08-23,70011.000000,70587.000000,69947.000000,70478.000000,70478.000000,3348400
2017-08-24,70482.000000,71238.000000,70482.000000,71133.000000,71133.000000,3113000
2017-08-25,71138.000000,71506.000000,70801.000000,71074.000000,71074.000000,2411000
2017-08-28,71074.000000,71390.000000,70909.000000,71017.000000,71017.000000,2196400
2017-08-29,71005.000000,71330.000000,70517.000000,71330.000000,71330.000000,2274700
2017-08-30,71328.000000,71454.000000,70755.000000,70886.000000,70886.000000,2663200
2017-08-31,70887.000000,71234.000000,70516.000000,70835.000000,70835.000000,4245100
2017-09-01,70848.000000,72217.000000,70846.000000,71923.000000,71923.000000,3880900
2017-09-04,71921.000000,72141.000000,71671.000000,72129.000000,72129.000000,1998000
